,Titres,Prix Broché,Prix Kindle,Prix Poche,Prix Relié,Nombre de pages Format Broché,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
86,Simplissime desserts: Le livre de desserts les + faciles du monde,None,"10,99",None,"14,95",None,None,288,None,None,20.5 x 3.4 x 25.5 cm,"4,5",522,https://www.amazon.fr//Simplissime-desserts-livre-faciles-monde/dp/2011356431/ref=sr_1_117?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672780&s=books&sr=1-117
87,Les recettes minceur de la coach des stars,"15,55",None,None,None,212,None,None,15.2 x 1.23 x 22.9 cm,None,None,"3,8",38,https://www.amazon.fr//recettes-minceur-coach-stars/dp/0615137520/ref=sr_1_115?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-115
88,Mes Jus de Légumes - recettes à l'extracteur: Carnet de recettes à compléter de vos 100 jus de légumes et fruits préférés | livre de 60 pages | format 15.24 x 22.86 cm,"5,99",None,None,None,59,None,None,15.24 x 0.36 x 22.86 cm,None,None,"1,0",2,https://www.amazon.fr//Mes-Jus-L%C3%A9gumes-lextracteur-compl%C3%A9ter/dp/B085RTKHJ5/ref=sr_1_116?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-116
89,Mon cahier minceur printemps-été,"7,90",None,None,None,96,None,None,17.2 x 0.9 x 22.2 cm,None,None,"4,4",35,https://www.amazon.fr//cahier-minceur-printemps-%C3%A9t%C3%A9-H%C3%A9l%C3%A8ne-DEFRETIN/dp/226317043X/ref=sr_1_117?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-117
90,"Plats gourmands, vapeur douce: 120 recettes simples et bluffantes",None,"13,99",None,"19,90",None,None,160,None,None,22.3 x 1.7 x 25.5 cm,"4,6",128,https://www.amazon.fr//Plats-gourmands-vapeur-douce-bluffantes/dp/2226453342/ref=sr_1_118?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-118
91,Fastgood Cuisine - Healthy et gourmand,None,None,None,"14,95",None,None,126,None,None,18.7 x 1.8 x 22.8 cm,"4,5",296,https://www.amazon.fr//Fastgood-Cuisine-gourmand-Charles-Gilles-compagnon/dp/2749940567/ref=sr_1_120?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-120
92,Mes petites recettes magiques sans gluten et sans lactose,"6,00",None,"13,25",None,246,None,None,17.9 x 1.6 x 11 cm,LEDUC.S (1 janvier 1905),None,"4,2",383,https://www.amazon.fr//petites-recettes-magiques-gluten-lactose/dp/B0789TBXGT/ref=sr_1_121?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-121
93,"Jus de Fruits et de Legumes Crus: 57 recettes faciles et un Guide Pratique Complet pour améliorer votre alimentation : Santé, Vitalité et Minceur, ... sans extracteur, FACILEMENT ET DURABLEMENT.","14,99","2,99",None,None,198,None,None,15.24 x 1.14 x 22.86 cm,None,None,"3,9",110,https://www.amazon.fr//Jus-Fruits-Legumes-Crus-alimentation/dp/2955413305/ref=sr_1_123?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-123
94,Recettes légères et gourmandes avec Steam up,"9,95",None,None,None,168,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",49,https://www.amazon.fr//Recettes-l%C3%A9g%C3%A8res-gourmandes-avec-Steam/dp/2035970210/ref=sr_1_125?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-125
95,LE REGIME IG BAS,None,"14,99",None,"19,95",None,None,224,None,None,19.7 x 2.4 x 25.3 cm,"4,4",114,https://www.amazon.fr//REGIME-BAS-Marie-Laure-Andr%C3%A9/dp/2017084484/ref=sr_1_126?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-126
96,Bowl cakes mini-sucre,"7,95","5,99",None,None,80,None,None,17 x 0.9 x 23.5 cm,None,None,"4,3",9,https://www.amazon.fr//Bowl-cakes-mini-sucre-Emmanuelle-Levesque/dp/2035990955/ref=sr_1_127?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-127
97,Régime IG - Perdez 3 kilos dès la première semaine,"8,00",None,None,None,135,None,None,14.4 x 1.4 x 21.1 cm,None,None,"3,8",89,https://www.amazon.fr//R%C3%A9gime-IG-Perdez-premi%C3%A8re-semaine/dp/2359344765/ref=sr_1_128?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-128
98,Batch Cooking équilibre,None,None,None,"20,00",None,None,171,None,None,17.8 x 2.3 x 24.8 cm,"4,2",94,https://www.amazon.fr//Batch-Cooking-%C3%A9quilibre-Pascale-Weeks/dp/2379450110/ref=sr_1_130?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-130
99,"Mon cahier bowl cake: Répertoire de vos recettes + 100 fiches illustrées et faciles à remplir pour la préparation de vos Bow Cakes  - gourmandise healthy - taille A4 = 21 x 29,7 cm","7,85",None,None,None,105,None,None,21.01 x 0.69 x 29.69 cm,None,None,"5,0",1,https://www.amazon.fr//Mon-cahier-bowl-cake-pr%C3%A9paration/dp/B0863QDBNY/ref=sr_1_131?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-131
100,Recettes minceur: Cahier de recettes de régime à remplir – journal de recettes Très complètes et prêtes à remplir + répertoire - carnet de recette de ... - mes recettes mon cahier de recettes,"3,99",None,None,None,100,None,None,15.24 x 0.58 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-minceur-recettes-compl%C3%A8tes-r%C3%A9pertoire/dp/B088BDSY6Y/ref=sr_1_132?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-132
101,Mes petites recettes magiques - Soupes,"6,00",None,"68,17",None,223,None,None,17.8 x 1.5 x 11 cm,Leduc.S (1 janvier 2018),None,"4,2",135,https://www.amazon.fr//Mes-petites-recettes-magiques-soupes/dp/B0754521CY/ref=sr_1_133?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672781&s=books&sr=1-133
102,LA BIBLE DU THERMOMIX: 300 Recettes Faciles et Rapides pour les Utilisateurs Débutants et Avancés (Recettes au Thermomix),"11,94","4,99",None,None,146,None,None,19 x 0.94 x 23.01 cm,None,None,"2,7",6,https://www.amazon.fr//BIBLE-THERMOMIX-Utilisateurs-D%C3%A9butants-Thermomix/dp/B08C8YKDHC/ref=sr_1_131?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-131
103,Régime cétogène – Le livre de recettes: 100 délicieuses recettes pour suivre un régime cétogène - Brûler des graisses sainement sans faim et sans glucides - avec les bases et un plan nutritionnel,"9,99","4,99",None,None,203,None,None,19.05 x 1.17 x 23.5 cm,None,None,"3,6",57,https://www.amazon.fr//R%C3%A9gime-c%C3%A9tog%C3%A8ne-d%C3%A9licieuses-sainement-nutritionnel/dp/1657787648/ref=sr_1_132?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-132
104,"MES 100 RECETTES HEALTHY MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I Amaigrissant I Maigrir I Mincir I Régimes I","9,99",None,None,None,105,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-MINCEUR/dp/B08BWGWL65/ref=sr_1_133?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-133
105,Recettes Allégées au Thermomix,"9,89","4,90",None,None,156,None,None,15.24 x 0.91 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-All%C3%A9g%C3%A9es-au-Thermomix-Fealty/dp/B0914PW38G/ref=sr_1_134?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-134
106,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture à rayures 2346","5,99",None,None,None,108,None,None,19.05 x 0.64 x 23.5 cm,None,None,"4,3",46,https://www.amazon.fr//Mon-planificateur-menus-alimentaire-Couverture/dp/1700812343/ref=sr_1_136?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-136
107,Mon cahier Objectif minceur automne hiver,"9,90",None,None,None,192,None,None,17.2 x 2 x 22.2 cm,None,None,"4,1",126,https://www.amazon.fr//cahier-Objectif-minceur-automne-hiver/dp/2263158898/ref=sr_1_137?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-137
108,Recettes light inratables !,None,"14,99",None,"19,95",None,None,416,None,None,20.5 x 4.5 x 26.7 cm,"4,7",63,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_138?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-138
109,Les secrets de la cuisine à indice glycémique bas,"22,00",None,None,None,222,None,None,24.4 x 1.8 x 16.5 cm,None,None,"4,4",215,https://www.amazon.fr//secrets-cuisine-IG-bas-silhouette/dp/2360982435/ref=sr_1_141?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-141
110,"Les recette de mamie: Livre de recettes à compléter: Carnet pour 102 recettes | Format A4, 209 pages | 2 pages par recette. Ce Livre de Cuisine Vierge ... Écrire et Transmettre vos Astuces de Famille.","6,99",None,None,None,209,None,None,21.01 x 1.22 x 29.69 cm,None,None,None,None,https://www.amazon.fr//recette-mamie-recettes-compl%C3%A9ter-Transmettre/dp/B08YQR699Z/ref=sr_1_145?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-145
111,52 semaines de minceur,"15,36",None,None,None,2221081870,None,None,21.6 x 15.8 x 1.6 cm,None,None,"3,7",32,https://www.amazon.fr//52-semaines-minceur-Weight-Watchers/dp/2221081870/ref=sr_1_146?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-146
112,L'esprit léger Mes recettes du bonheur !,None,None,None,"10,00",None,None,160,None,None,19.8 x 1.8 x 26.4 cm,"3,8",40,https://www.amazon.fr//Lesprit-l%C3%A9ger-Mes-recettes-bonheur/dp/2732482013/ref=sr_1_147?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672782&s=books&sr=1-147
113,Simplissime: Le livre de cuisine le + facile du monde,None,"14,99",None,"19,95",None,None,384,None,None,20.5 x 4.7 x 25.5 cm,"4,4",1741,https://www.amazon.fr//Simplissime-livre-cuisine-facile-monde/dp/2013963653/ref=sr_1_148?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-148
114,"Mes 100 recettes IG BAS - A compléter, cuisiner et savourer: Carnet, livre et cahier de cuisine à écrire, remplir & compléter soi-même I Noël I Idée ... et favoriser la perte de poid (amaigrissant)","11,96",None,None,None,105,None,None,21.59 x 0.61 x 27.94 cm,None,None,"3,5",5,https://www.amazon.fr//Mes-100-recettes-BAS-amaigrissant/dp/B08F65S89R/ref=sr_1_150?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-150
115,Régime IG bas pour débutants: Guide pratique de la cuisine IG bas super facile avec 45 recettes IG bas pour tous les jours ; Manger mieux pour vivre mieux (livre indice glycémique bas),"7,99","2,99",None,None,72,None,None,15.24 x 0.43 x 22.86 cm,None,None,"3,5",37,https://www.amazon.fr//R%C3%A9gime-bas-pour-d%C3%A9butants-glyc%C3%A9mique/dp/B08D4VPYXK/ref=sr_1_151?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-151
116,Mon Régime Paléo: 4 semaines de recettes pour découvrir le régime Paléo,"14,66","5,33",None,None,196,None,None,20.32 x 1.14 x 25.4 cm,None,None,"4,1",22,https://www.amazon.fr//Mon-R%C3%A9gime-Pal%C3%A9o-semaines-d%C3%A9couvrir/dp/1537643452/ref=sr_1_152?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-152
117,Petit livre de - Minceur express en 140 recettes (LE PETIT LIVRE),"6,91","1,99",None,None,160,None,None,8.8 x 1.2 x 12.1 cm,None,None,"4,2",65,https://www.amazon.fr//Petit-livre-Minceur-express-recettes-ebook/dp/B00I95H5KG/ref=sr_1_153?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-153
118,100 recettes et menus: RECETTES INEDITES A INDEX GLYCEMIQUE BAS,"20,50",None,None,None,256,None,None,17 x 2 x 21 cm,None,None,"4,3",71,https://www.amazon.fr//100-Recettes-menus-Michel-Montignac/dp/208120181X/ref=sr_1_154?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-154
119,Ma cuisine légère au quotidien: La meilleure façon de rester mince,"14,90",None,None,None,224,None,None,19.3 x 1.9 x 24 cm,None,None,"4,2",22,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-quotidien-meilleure-rester/dp/2081487942/ref=sr_1_158?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-158
120,"L'assiette du sportif: Recettes équilibrées avant/pendant et après l'effort, Conseils nutritionnels pour être au top, Idéa","19,95","14,99",None,None,192,None,None,20.6 x 2.3 x 24.2 cm,None,None,"4,5",253,https://www.amazon.fr//Lassiette-sportif-Recettes-%C3%A9quilibr%C3%A9es-nutritionnels/dp/2011356245/ref=sr_1_159?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-159
121,Marmiton TOP - Vos recettes light préférées,"16,90",None,None,None,398,None,None,19.2 x 4.4 x 21.6 cm,None,None,"4,5",4,https://www.amazon.fr//Marmiton-TOP-recettes-light-pr%C3%A9f%C3%A9r%C3%A9es/dp/280967003X/ref=sr_1_161?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-161
122,Bouddha Bowls Plaisir: Livre de recette à remplir⎪80 fiches préformatées ⎪Bowlcake Poke Bowl et toutes vos recettes Bowl⎪Grande format,"7,99",None,None,None,92,None,None,17.78 x 0.53 x 25.4 cm,None,None,"3,0",2,https://www.amazon.fr//Bouddha-Bowls-Plaisir-pr%C3%A9format%C3%A9es-Bowl%E2%8E%AAGrande/dp/B08NV41D79/ref=sr_1_162?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672783&s=books&sr=1-162
123,40 Recettes de Smoothie faciles pour tous les jours: De la recette hypocalorique à la bombe à énergie pure,"5,99","4,99",None,None,44,None,None,19.05 x 0.25 x 23.5 cm,None,None,"3,6",12,https://www.amazon.fr//Recettes-Smoothie-faciles-pour-jours/dp/1722809841/ref=sr_1_163?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-163
124,Recettes au blender,None,"7,99",None,"9,95",None,None,224,None,None,13.5 x 2.1 x 20 cm,"4,2",563,https://www.amazon.fr//Recettes-au-blender-No%C3%ABmie-Andr%C3%A9/dp/2035969689/ref=sr_1_165?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-165
125,La méthode 10/10 : ce livre fait perdre 10 kg et vivre 10 ans de plus,"24,90","9,99",None,None,388,None,None,14.5 x 4 x 210.4 cm,None,None,"3,7",652,https://www.amazon.fr//m%C3%A9thode-10-livre-perdre-vivre/dp/B01LR5C5B8/ref=sr_1_167?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-167
126,"Jus de Légumes Recettes: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. Carnet de jus de ... pour maigrir ou manger léger | 100 recettes","6,99",None,None,None,106,None,None,17.78 x 0.69 x 25.4 cm,None,None,None,None,https://www.amazon.fr//Jus-L%C3%A9gumes-Recettes-extracteur-cuisiner/dp/B08KQRF3S1/ref=sr_1_168?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-168
127,I love la cuisine minceur,"15,90","10,99",None,None,320,None,None,18.8 x 2.5 x 23.1 cm,None,None,"3,9",6,https://www.amazon.fr//love-cuisine-minceur-Val%C3%A9ry-GUEDES/dp/2263160817/ref=sr_1_170?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-170
128,PLANCHA MINCEUR,"7,50",None,None,None,64,None,None,24.7 x 1.4 x 17.4 cm,None,None,"3,8",3,https://www.amazon.fr//PLANCHA-MINCEUR-LILIANE-OTAL/dp/2817704185/ref=sr_1_173?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-173
129,"Glaces, sorbets et desserts légers pour l'été: 20 recettes allégées en sucre, sans lactose et sans gluten","4,75","2,99",None,None,37,None,None,13.97 x 0.23 x 21.59 cm,None,None,"3,6",8,https://www.amazon.fr//Glaces-sorbets-desserts-l%C3%A9gers-pour/dp/1086537483/ref=sr_1_175?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-175
130,Recettes minceur,None,None,None,"11,05",None,None,240,None,None,24.5 x 2 x 17.5 cm,"4,1",2,https://www.amazon.fr//Recettes-minceur-Collectif/dp/2035851785/ref=sr_1_176?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-176
131,"Sarrasin, l'alternative sans gluten (SARR)","26,84",None,"9,95",None,None,70,None,B010IQVMUM,16 x 0.8 x 22 cm,None,"4,5",26,https://www.amazon.fr//Sarrasin-lalternative-sans-gluten-Clemence/dp/2842213998/ref=sr_1_177?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-177
132,"Miam-ô-5, Miam-ô-fruit: 80 recettes dynamisantes, faciles et pas chères","15,90","11,99",None,None,190,None,None,17 x 1.7 x 21 cm,None,None,None,None,https://www.amazon.fr//Miam-%C3%B4-5-Miam-%C3%B4-fruit-recettes-dynamisantes-faciles/dp/2268105253/ref=sr_1_178?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-178
133,Mes petites recettes magiques aux protéines végétales,"6,00","4,99","6,00",None,979-1028510640,215,None,17.8 x 1.5 x 11 cm,17.8 x 1.4 x 11 cm,None,"4,1",57,https://www.amazon.fr//Petites-Recettes-aux-Proteines-Vegetales/dp/B079F9D91T/ref=sr_1_180?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-180
134,Le grand livre de l'alimentation cétogène,"23,95","7,99",None,None,448,None,None,19 x 2.4 x 23.1 cm,None,None,"4,5",1231,https://www.amazon.fr//grand-livre-lalimentation-c%C3%A9tog%C3%A8ne/dp/2365492452/ref=sr_1_179?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-179
135,"MES 100 RECETTES HEALTHY - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I","9,99",None,None,None,105,None,None,21.59 x 0.69 x 27.94 cm,None,None,"3,8",5,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-compl%C3%A9ter/dp/B08BWCFZDL/ref=sr_1_180?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-180
136,Petit Livre de - 120 recettes vapeur et minceur,"9,20","1,99","20,47",None,160,160,None,15 x 1.3 x 22 cm,8.8 x 1.1 x 12.2 cm,None,"3,8",102,https://www.amazon.fr//Petit-Livre-recettes-vapeur-minceur/dp/2754073787/ref=sr_1_182?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-182
137,Cuisine facile et rapide avec la friteuse à air: 100 Recettes rapides et faciles : Recettes simples et saines pour tous les jours ; Recettes saines et rapides (Livre de recettes friteuse sans huile),"9,95","3,99",None,None,133,None,None,20.32 x 0.76 x 25.4 cm,None,None,"4,0",140,https://www.amazon.fr//Cuisine-facile-rapide-avec-friteuse/dp/1083094289/ref=sr_1_183?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-183
138,SIMPLISSIME - Recettes végétariennes et vegan: Les recettes végétariennes et vegan les plus faciles du monde,None,"10,99",None,"14,95",None,None,288,None,None,20 x 3 x 26 cm,"4,5",501,https://www.amazon.fr//SIMPLISSIME-Recettes-v%C3%A9g%C3%A9tariennes-recettes-faciles/dp/2016261749/ref=sr_1_184?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-184
139,Vegan 100 recettes gourmandes,"5,95","4,49",None,None,224,None,None,17.8 x 2 x 17.8 cm,None,None,"4,5",145,https://www.amazon.fr//Vegan-100-recettes-gourmandes-Collectif/dp/2017084395/ref=sr_1_185?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-185
140,Bouddha bols !: Le bol repas qui nous vient d'Asie !,"8,95",None,None,None,96,None,None,23 x 0.8 x 23 cm,None,None,"4,5",175,https://www.amazon.fr//Bouddha-bols-repas-vient-dAsie/dp/2035949459/ref=sr_1_186?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-186
141,"Régime Charge Glycémique, Régime Express IG: La méthode ultra efficace pour perdre 10 kg et vivre 10 ans de plus ! Guide des index glycémiques + 39 Recettes IG bas ; Manger mieux pour vivre mieux !","8,99","3,99",None,None,196,None,None,20.32 x 1.14 x 25.4 cm,None,None,"3,2",8,https://www.amazon.fr//R%C3%A9gime-Charge-Glyc%C3%A9mique-Express-glyc%C3%A9miques/dp/B089249D2L/ref=sr_1_189?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-189
142,Cuisine italienne et sans gluten !,"14,00",None,None,None,119,None,None,21 x 1.2 x 20.9 cm,None,None,"4,5",34,https://www.amazon.fr//Cuisine-italienne-sans-gluten-recettes/dp/2360983520/ref=sr_1_190?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-190
143,Le jeûne intermittent: Comment brûler les graisses efficacement et perdre du poids sans souffrir de la faim,"8,99","4,95",None,None,134,None,None,12.7 x 0.79 x 20.32 cm,None,None,"4,0",132,https://www.amazon.fr//je%C3%BBne-intermittent-graisses-efficacement-souffrir/dp/B08P2C2TT3/ref=sr_1_191?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-191
144,L'intégrale des recettes illustrées Dukan pour réussir la méthode,"37,78",None,None,None,539,None,None,17.4 x 3.5 x 21.7 cm,None,None,"4,3",256,https://www.amazon.fr//Lint%C3%A9grale-recettes-illustr%C3%A9es-r%C3%A9ussir-m%C3%A9thode/dp/2081238101/ref=sr_1_192?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-192
145,Low carb. 101 recettes pauvres en glucides,"19,90","12,99",None,None,208,None,None,16.9 x 1.6 x 23.1 cm,None,None,"4,1",130,https://www.amazon.fr//Low-carb-recettes-pauvres-glucides/dp/236549207X/ref=sr_1_194?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-194
