,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
195,Mon cahier Objectif minceur automne hiver,"['Broché 9,90']",192,None,None,None,17.2 x 2 x 22.2 cm,None,None,"4,1",126,https://www.amazon.fr//cahier-Objectif-minceur-automne-hiver/dp/2263158898/ref=sr_1_164?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-164
196,Recettes au blender,"['Format Kindle 7,99', 'Relié 9,95']",None,16240 KB,None,224,None,None,13.5 x 2.1 x 20 cm,"4,2",563,https://www.amazon.fr//Recettes-au-blender-No%C3%ABmie-Andr%C3%A9/dp/2035969689/ref=sr_1_165?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-165
197,Simplissime: Le livre de cuisine le + facile du monde,"['Format Kindle 14,99', 'Relié 19,95']",None,100838 KB,None,384,None,None,20.5 x 4.7 x 25.5 cm,"4,4",1741,https://www.amazon.fr//Simplissime-livre-cuisine-facile-monde/dp/2013963653/ref=sr_1_166?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-166
198,La méthode 10/10 : ce livre fait perdre 10 kg et vivre 10 ans de plus,"['Broché 24,90', 'Format Kindle 9,99']",388,4275 KB,None,None,14.5 x 4 x 210.4 cm,None,None,"3,7",652,https://www.amazon.fr//m%C3%A9thode-10-livre-perdre-vivre/dp/B01LR5C5B8/ref=sr_1_167?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-167
199,"Jus de Légumes Recettes: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. Carnet de jus de ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99']",106,None,None,None,17.78 x 0.69 x 25.4 cm,None,None,None,None,https://www.amazon.fr//Jus-L%C3%A9gumes-Recettes-extracteur-cuisiner/dp/B08KQRF3S1/ref=sr_1_168?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-168
200,Mon Régime Paléo: 4 semaines de recettes pour découvrir le régime Paléo,"['Broché 14,66', 'Format Kindle 5,33']",196,: Illimité,None,None,20.32 x 1.14 x 25.4 cm,None,None,"4,1",22,https://www.amazon.fr//Mon-R%C3%A9gime-Pal%C3%A9o-semaines-d%C3%A9couvrir/dp/1537643452/ref=sr_1_169?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-169
201,I love la cuisine minceur,"['Format Kindle 10,99', 'Broché 15,90']",320,69277 KB,None,None,18.8 x 2.5 x 23.1 cm,None,None,"3,9",6,https://www.amazon.fr//love-cuisine-minceur-Val%C3%A9ry-GUEDES/dp/2263160817/ref=sr_1_170?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-170
202,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg11_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_171_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-171-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_mtf
203,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg11_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_172_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-172-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_mtf
204,PLANCHA MINCEUR,"['Broché 7,50']",64,None,None,None,24.7 x 1.4 x 17.4 cm,None,None,"3,8",3,https://www.amazon.fr//PLANCHA-MINCEUR-LILIANE-OTAL/dp/2817704185/ref=sr_1_173?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-173
205,"LE RÉGIME ANTI-INFLAMMATOIRE: Programme de 10 semaines et plus de 200 recettes de guérison pour lutter contre l'inflammation et renforcer votre système immunitaire, du petit-déjeuner au dîner","['Format Kindle 7,97', 'Broché 15,81']",149,,None,None,20.32 x 0.86 x 25.4 cm,None,None,"3,5",16,https://www.amazon.fr//R%C3%89GIME-ANTI-INFLAMMATOIRE-linflammation-immunitaire-petit-d%C3%A9jeuner/dp/B08W7SQGCG/ref=sr_1_174?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-174
206,"Glaces, sorbets et desserts légers pour l'été: 20 recettes allégées en sucre, sans lactose et sans gluten","['Format Kindle 2,99', 'Broché 4,75']",37,activée,None,None,13.97 x 0.23 x 21.59 cm,None,None,"3,6",8,https://www.amazon.fr//Glaces-sorbets-desserts-l%C3%A9gers-pour/dp/1086537483/ref=sr_1_175?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-175
207,Recettes minceur,"['Relié 11,05']",None,None,None,240,None,None,24.5 x 2 x 17.5 cm,"4,1",2,https://www.amazon.fr//Recettes-minceur-Collectif/dp/2035851785/ref=sr_1_176?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-176
208,"Sarrasin, l'alternative sans gluten (SARR)","['Poche 9,95', 'Broché 26,84']",None,None,70,None,B010IQVMUM,16 x 0.8 x 22 cm,None,"4,5",26,https://www.amazon.fr//Sarrasin-lalternative-sans-gluten-Clemence/dp/2842213998/ref=sr_1_177?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-177
209,"Miam-ô-5, Miam-ô-fruit: 80 recettes dynamisantes, faciles et pas chères","['Format Kindle 11,99', 'Broché 15,90']",190,25820 KB,None,None,17 x 1.7 x 21 cm,None,None,None,None,https://www.amazon.fr//Miam-%C3%B4-5-Miam-%C3%B4-fruit-recettes-dynamisantes-faciles/dp/2268105253/ref=sr_1_178?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-178
210,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99']",106,None,None,None,17.78 x 0.69 x 25.4 cm,None,None,None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXVFKM/ref=sr_1_179?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-179
211,Mes petites recettes magiques aux protéines végétales,"['Format Kindle 4,99', 'Poche 6,00', 'Broché 6,00']",979-1028510640,1028 KB,215,None,17.8 x 1.5 x 11 cm,17.8 x 1.4 x 11 cm,None,"4,1",57,https://www.amazon.fr//Petites-Recettes-aux-Proteines-Vegetales/dp/B079F9D91T/ref=sr_1_180?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672784&s=books&sr=1-180
212,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg11_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_181_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-181-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_btf
213,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg11_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_182_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672784%26s%3Dbooks%26sr%3D1-182-spons%26psc%3D1&qualifier=1618672784&id=8728088714950930&widgetName=sp_btf
214,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg12_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_177_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-177-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_atf_next
215,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg12_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_178_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-178-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_atf_next
216,Le grand livre de l'alimentation cétogène,"['Format Kindle 7,99', 'Broché 23,95']",448,46685 KB,None,None,19 x 2.4 x 23.1 cm,None,None,"4,5",1231,https://www.amazon.fr//grand-livre-lalimentation-c%C3%A9tog%C3%A8ne/dp/2365492452/ref=sr_1_179?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-179
217,"MES 100 RECETTES HEALTHY - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I","['Broché 9,99']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,"3,8",5,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-compl%C3%A9ter/dp/B08BWCFZDL/ref=sr_1_180?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-180
218,Régime cétogène – Le livre de recettes: 100 délicieuses recettes pour suivre un régime cétogène - Brûler des graisses sainement sans faim et sans glucides - avec les bases et un plan nutritionnel,"['Format Kindle 4,99', 'Broché 9,99']",203,: Illimité,None,None,19.05 x 1.17 x 23.5 cm,None,None,"3,6",57,https://www.amazon.fr//R%C3%A9gime-c%C3%A9tog%C3%A8ne-d%C3%A9licieuses-sainement-nutritionnel/dp/1657787648/ref=sr_1_181?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-181
219,Petit Livre de - 120 recettes vapeur et minceur,"['Format Kindle 1,99', 'Broché 9,20', 'Poche 20,47']",160,2092 KB,160,None,15 x 1.3 x 22 cm,8.8 x 1.1 x 12.2 cm,None,"3,8",102,https://www.amazon.fr//Petit-Livre-recettes-vapeur-minceur/dp/2754073787/ref=sr_1_182?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-182
220,Cuisine facile et rapide avec la friteuse à air: 100 Recettes rapides et faciles : Recettes simples et saines pour tous les jours ; Recettes saines et rapides (Livre de recettes friteuse sans huile),"['Format Kindle 3,99', 'Broché 9,95']",133,,None,None,20.32 x 0.76 x 25.4 cm,None,None,"4,0",140,https://www.amazon.fr//Cuisine-facile-rapide-avec-friteuse/dp/1083094289/ref=sr_1_183?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-183
221,SIMPLISSIME - Recettes végétariennes et vegan: Les recettes végétariennes et vegan les plus faciles du monde,"['Format Kindle 10,99', 'Relié 14,95']",None,89318 KB,None,288,None,None,20 x 3 x 26 cm,"4,5",501,https://www.amazon.fr//SIMPLISSIME-Recettes-v%C3%A9g%C3%A9tariennes-recettes-faciles/dp/2016261749/ref=sr_1_184?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-184
222,Vegan 100 recettes gourmandes,"['Broché 5,95', 'Format Kindle 4,49']",224,53351 KB,None,None,17.8 x 2 x 17.8 cm,None,None,"4,5",145,https://www.amazon.fr//Vegan-100-recettes-gourmandes-Collectif/dp/2017084395/ref=sr_1_185?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-185
223,Bouddha bols !: Le bol repas qui nous vient d'Asie !,"['Broché 8,95']",96,None,None,None,23 x 0.8 x 23 cm,None,None,"4,5",175,https://www.amazon.fr//Bouddha-bols-repas-vient-dAsie/dp/2035949459/ref=sr_1_186?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-186
224,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg12_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_187_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-187-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_mtf
225,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg12_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_188_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-188-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_mtf
226,"Régime Charge Glycémique, Régime Express IG: La méthode ultra efficace pour perdre 10 kg et vivre 10 ans de plus ! Guide des index glycémiques + 39 Recettes IG bas ; Manger mieux pour vivre mieux !","['Format Kindle 3,99', 'Broché 8,99']",196,,None,None,20.32 x 1.14 x 25.4 cm,None,None,"3,2",8,https://www.amazon.fr//R%C3%A9gime-Charge-Glyc%C3%A9mique-Express-glyc%C3%A9miques/dp/B089249D2L/ref=sr_1_189?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-189
227,Cuisine italienne et sans gluten !,"['Broché 14,00']",119,None,None,None,21 x 1.2 x 20.9 cm,None,None,"4,5",34,https://www.amazon.fr//Cuisine-italienne-sans-gluten-recettes/dp/2360983520/ref=sr_1_190?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-190
228,Le jeûne intermittent: Comment brûler les graisses efficacement et perdre du poids sans souffrir de la faim,"['Format Kindle 4,95', 'Broché 8,99']",134,: Illimité,None,None,12.7 x 0.79 x 20.32 cm,None,None,"4,0",132,https://www.amazon.fr//je%C3%BBne-intermittent-graisses-efficacement-souffrir/dp/B08P2C2TT3/ref=sr_1_191?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-191
229,L'intégrale des recettes illustrées Dukan pour réussir la méthode,"['Broché  37,78']",539,None,None,None,17.4 x 3.5 x 21.7 cm,None,None,"4,3",256,https://www.amazon.fr//Lint%C3%A9grale-recettes-illustr%C3%A9es-r%C3%A9ussir-m%C3%A9thode/dp/2081238101/ref=sr_1_192?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-192
230,Recettes Allégées au Thermomix,"['Broché 9,89', 'Format Kindle 4,90']",156,: Illimité,None,None,15.24 x 0.91 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-All%C3%A9g%C3%A9es-au-Thermomix-Fealty/dp/B0914PW38G/ref=sr_1_193?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-193
231,Low carb. 101 recettes pauvres en glucides,"['Format Kindle 12,99', 'Broché 19,90']",208,18228 KB,None,None,16.9 x 1.6 x 23.1 cm,None,None,"4,1",130,https://www.amazon.fr//Low-carb-recettes-pauvres-glucides/dp/236549207X/ref=sr_1_194?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-194
232,Mes Recettes Préférées : Cahier De Recettes Cuisine à Remplir: Livre De Recettes Personnalisé De Mes Recettes Délicieuses | Carnet De Recettes A ... |100 Fiches Recettes XXL à compléter.,"['Broché 3,99']",110,None,None,None,21.59 x 0.64 x 27.94 cm,None,None,"4,6",188,https://www.amazon.fr//Mes-Recettes-Pr%C3%A9f%C3%A9r%C3%A9es-Personnalis%C3%A9-D%C3%A9licieuses/dp/B088N62FS8/ref=sr_1_195?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-195
233,Petits plats du soir avec thermomix,"['Relié 29,95', 'Format Kindle 28,99']",None,173676 KB,None,288,None,None,19.5 x 3.5 x 26 cm,"4,6",209,https://www.amazon.fr//Petits-plats-soir-avec-thermomix/dp/2035954843/ref=sr_1_196?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-196
234,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg12_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_197_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-197-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_btf
235,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg12_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_198_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672785%26s%3Dbooks%26sr%3D1-198-spons%26psc%3D1&qualifier=1618672785&id=1700136355972953&widgetName=sp_btf
236,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg13_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_193_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-193-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_atf_next
237,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg13_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_194_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-194-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_atf_next
238,"Sarrasin, l'alternative sans gluten (SARR)","['Poche 9,95', 'Broché 26,84']",None,None,70,None,B010IQVMUM,16 x 0.8 x 22 cm,None,"4,5",26,https://www.amazon.fr//Sarrasin-lalternative-sans-gluten-Clemence/dp/2842213998/ref=sr_1_195?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-195
239,Low carb. 101 recettes pauvres en glucides,"['Format Kindle 12,99', 'Broché 19,90']",208,18228 KB,None,None,16.9 x 1.6 x 23.1 cm,None,None,"4,1",130,https://www.amazon.fr//Low-carb-recettes-pauvres-glucides/dp/236549207X/ref=sr_1_196?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-196
240,Petit livre de - Minceur express en 140 recettes (LE PETIT LIVRE),"['Format Kindle 1,99', 'Broché 6,91']",160,1899 KB,None,None,8.8 x 1.2 x 12.1 cm,None,None,"4,2",65,https://www.amazon.fr//Petit-livre-Minceur-express-recettes-ebook/dp/B00I95H5KG/ref=sr_1_197?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-197
241,"MES 100 RECETTES HEALTHY - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I","['Broché 9,99']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,"3,8",5,https://www.amazon.fr//MES-100-RECETTES-HEALTHY-compl%C3%A9ter/dp/B08BWCFZDL/ref=sr_1_198?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-198
242,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg13_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_199_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-199-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_mtf
